0,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
1,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
1,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
2,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
2,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
3,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
3,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0,1,1,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0,1,1,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0,0,1,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0,0,1,33,33,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,1,1,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,1,1,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,50,0.5,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,50,0.5,0.001,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,1,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,1,5,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,1,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,1,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,100,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,100,0.10,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,1,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,1,0.01,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,0,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,0,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,1,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,1,0.75,0.85,0.95,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,1,1,1,False,False,False,False
0,0.75,0.85,0.95,33,33,0.001,5,0.10,0.01,1,1,1,False,False,False,False
